TCP,status,xml_path,txt_path,extracted_chars
A00471,ok,/Users/grace/Desktop/new meta/tcp_drama/A00471.xml,/Users/grace/Desktop/new meta/<l><p>extract/A00471.txt,35514
A10439,ok,/Users/grace/Desktop/new meta/tcp_drama/A10439.xml,/Users/grace/Desktop/new meta/<l><p>extract/A10439.txt,51115
A10438,ok,/Users/grace/Desktop/new meta/tcp_drama/A10438.xml,/Users/grace/Desktop/new meta/<l><p>extract/A10438.txt,45158
A03175,ok,/Users/grace/Desktop/new meta/tcp_drama/A03175.xml,/Users/grace/Desktop/new meta/<l><p>extract/A03175.txt,27500
A03181,ok,/Users/grace/Desktop/new meta/tcp_drama/A03181.xml,/Users/grace/Desktop/new meta/<l><p>extract/A03181.txt,53608
A03179,ok,/Users/grace/Desktop/new meta/tcp_drama/A03179.xml,/Users/grace/Desktop/new meta/<l><p>extract/A03179.txt,65932
A04054,ok,/Users/grace/Desktop/new meta/tcp_drama/A04054.xml,/Users/grace/Desktop/new meta/<l><p>extract/A04054.txt,23802
A03177,ok,/Users/grace/Desktop/new meta/tcp_drama/A03177.xml,/Users/grace/Desktop/new meta/<l><p>extract/A03177.txt,45215
A02906,ok,/Users/grace/Desktop/new meta/tcp_drama/A02906.xml,/Users/grace/Desktop/new meta/<l><p>extract/A02906.txt,48637
A02658,ok,/Users/grace/Desktop/new meta/tcp_drama/A02658.xml,/Users/grace/Desktop/new meta/<l><p>extract/A02658.txt,21916
A02738,ok,/Users/grace/Desktop/new meta/tcp_drama/A02738.xml,/Users/grace/Desktop/new meta/<l><p>extract/A02738.txt,83569
A02749,ok,/Users/grace/Desktop/new meta/tcp_drama/A02749.xml,/Users/grace/Desktop/new meta/<l><p>extract/A02749.txt,81451
A04052,ok,/Users/grace/Desktop/new meta/tcp_drama/A04052.xml,/Users/grace/Desktop/new meta/<l><p>extract/A04052.txt,38900
A11914,ok,/Users/grace/Desktop/new meta/tcp_drama/A11914.xml,/Users/grace/Desktop/new meta/<l><p>extract/A11914.txt,93229
A04055,ok,/Users/grace/Desktop/new meta/tcp_drama/A04055.xml,/Users/grace/Desktop/new meta/<l><p>extract/A04055.txt,36082
A14713,ok,/Users/grace/Desktop/new meta/tcp_drama/A14713.xml,/Users/grace/Desktop/new meta/<l><p>extract/A14713.txt,25227
A11911,ok,/Users/grace/Desktop/new meta/tcp_drama/A11911.xml,/Users/grace/Desktop/new meta/<l><p>extract/A11911.txt,131852
A13664,ok,/Users/grace/Desktop/new meta/tcp_drama/A13664.xml,/Users/grace/Desktop/new meta/<l><p>extract/A13664.txt,36565
A15979,ok,/Users/grace/Desktop/new meta/tcp_drama/A15979.xml,/Users/grace/Desktop/new meta/<l><p>extract/A15979.txt,15263
A08360,ok,/Users/grace/Desktop/new meta/tcp_drama/A08360.xml,/Users/grace/Desktop/new meta/<l><p>extract/A08360.txt,85003
A08361,ok,/Users/grace/Desktop/new meta/tcp_drama/A08361.xml,/Users/grace/Desktop/new meta/<l><p>extract/A08361.txt,84227
A14846,ok,/Users/grace/Desktop/new meta/tcp_drama/A14846.xml,/Users/grace/Desktop/new meta/<l><p>extract/A14846.txt,49317
A11910,ok,/Users/grace/Desktop/new meta/tcp_drama/A11910.xml,/Users/grace/Desktop/new meta/<l><p>extract/A11910.txt,92345
A11912,ok,/Users/grace/Desktop/new meta/tcp_drama/A11912.xml,/Users/grace/Desktop/new meta/<l><p>extract/A11912.txt,92090
A11917,ok,/Users/grace/Desktop/new meta/tcp_drama/A11917.xml,/Users/grace/Desktop/new meta/<l><p>extract/A11917.txt,71020
A14193,ok,/Users/grace/Desktop/new meta/tcp_drama/A14193.xml,/Users/grace/Desktop/new meta/<l><p>extract/A14193.txt,99926
A14625,ok,/Users/grace/Desktop/new meta/tcp_drama/A14625.xml,/Users/grace/Desktop/new meta/<l><p>extract/A14625.txt,99115
A09651,ok,/Users/grace/Desktop/new meta/tcp_drama/A09651.xml,/Users/grace/Desktop/new meta/<l><p>extract/A09651.txt,62548
A13962,ok,/Users/grace/Desktop/new meta/tcp_drama/A13962.xml,/Users/grace/Desktop/new meta/<l><p>extract/A13962.txt,51282
A01353,ok,/Users/grace/Desktop/new meta/tcp_drama/A01353.xml,/Users/grace/Desktop/new meta/<l><p>extract/A01353.txt,59616
A04206,ok,/Users/grace/Desktop/new meta/tcp_drama/A04206.xml,/Users/grace/Desktop/new meta/<l><p>extract/A04206.txt,86795
A04027,ok,/Users/grace/Desktop/new meta/tcp_drama/A04027.xml,/Users/grace/Desktop/new meta/<l><p>extract/A04027.txt,64196
A07052,ok,/Users/grace/Desktop/new meta/tcp_drama/A07052.xml,/Users/grace/Desktop/new meta/<l><p>extract/A07052.txt,56368
A10041,ok,/Users/grace/Desktop/new meta/tcp_drama/A10041.xml,/Users/grace/Desktop/new meta/<l><p>extract/A10041.txt,66819
A14627,ok,/Users/grace/Desktop/new meta/tcp_drama/A14627.xml,/Users/grace/Desktop/new meta/<l><p>extract/A14627.txt,73779
A21159,ok,/Users/grace/Desktop/new meta/tcp_drama/A21159.xml,/Users/grace/Desktop/new meta/<l><p>extract/A21159.txt,97868
A00456,ok,/Users/grace/Desktop/new meta/tcp_drama/A00456.xml,/Users/grace/Desktop/new meta/<l><p>extract/A00456.txt,40393
A12969,ok,/Users/grace/Desktop/new meta/tcp_drama/A12969.xml,/Users/grace/Desktop/new meta/<l><p>extract/A12969.txt,72844
A14715,ok,/Users/grace/Desktop/new meta/tcp_drama/A14715.xml,/Users/grace/Desktop/new meta/<l><p>extract/A14715.txt,78180
A10192,ok,/Users/grace/Desktop/new meta/tcp_drama/A10192.xml,/Users/grace/Desktop/new meta/<l><p>extract/A10192.txt,43589
A06480,ok,/Users/grace/Desktop/new meta/tcp_drama/A06480.xml,/Users/grace/Desktop/new meta/<l><p>extract/A06480.txt,82474
A01506,ok,/Users/grace/Desktop/new meta/tcp_drama/A01506.xml,/Users/grace/Desktop/new meta/<l><p>extract/A01506.txt,82318
A18729,ok,/Users/grace/Desktop/new meta/tcp_drama/A18729.xml,/Users/grace/Desktop/new meta/<l><p>extract/A18729.txt,98343
A01509,ok,/Users/grace/Desktop/new meta/tcp_drama/A01509.xml,/Users/grace/Desktop/new meta/<l><p>extract/A01509.txt,75008
A01848,ok,/Users/grace/Desktop/new meta/tcp_drama/A01848.xml,/Users/grace/Desktop/new meta/<l><p>extract/A01848.txt,36930
A68918,ok,/Users/grace/Desktop/new meta/tcp_drama/A68918.xml,/Users/grace/Desktop/new meta/<l><p>extract/A68918.txt,113324
A06625,ok,/Users/grace/Desktop/new meta/tcp_drama/A06625.xml,/Users/grace/Desktop/new meta/<l><p>extract/A06625.txt,67260
A09220,ok,/Users/grace/Desktop/new meta/tcp_drama/A09220.xml,/Users/grace/Desktop/new meta/<l><p>extract/A09220.txt,58001
A06583,ok,/Users/grace/Desktop/new meta/tcp_drama/A06583.xml,/Users/grace/Desktop/new meta/<l><p>extract/A06583.txt,65922
A15519,ok,/Users/grace/Desktop/new meta/tcp_drama/A15519.xml,/Users/grace/Desktop/new meta/<l><p>extract/A15519.txt,98145
A09134,ok,/Users/grace/Desktop/new meta/tcp_drama/A09134.xml,/Users/grace/Desktop/new meta/<l><p>extract/A09134.txt,79814
A09223,ok,/Users/grace/Desktop/new meta/tcp_drama/A09223.xml,/Users/grace/Desktop/new meta/<l><p>extract/A09223.txt,5688
A21238,ok,/Users/grace/Desktop/new meta/tcp_drama/A21238.xml,/Users/grace/Desktop/new meta/<l><p>extract/A21238.txt,70689
A03804,ok,/Users/grace/Desktop/new meta/tcp_drama/A03804.xml,/Users/grace/Desktop/new meta/<l><p>extract/A03804.txt,108767
A13611,ok,/Users/grace/Desktop/new meta/tcp_drama/A13611.xml,/Users/grace/Desktop/new meta/<l><p>extract/A13611.txt,105621
A15517,ok,/Users/grace/Desktop/new meta/tcp_drama/A15517.xml,/Users/grace/Desktop/new meta/<l><p>extract/A15517.txt,108585
A08058,ok,/Users/grace/Desktop/new meta/tcp_drama/A08058.xml,/Users/grace/Desktop/new meta/<l><p>extract/A08058.txt,6826
A06589,ok,/Users/grace/Desktop/new meta/tcp_drama/A06589.xml,/Users/grace/Desktop/new meta/<l><p>extract/A06589.txt,104051
A09222,ok,/Users/grace/Desktop/new meta/tcp_drama/A09222.xml,/Users/grace/Desktop/new meta/<l><p>extract/A09222.txt,6792
A17029,ok,/Users/grace/Desktop/new meta/tcp_drama/A17029.xml,/Users/grace/Desktop/new meta/<l><p>extract/A17029.txt,13047
A15498,ok,/Users/grace/Desktop/new meta/tcp_drama/A15498.xml,/Users/grace/Desktop/new meta/<l><p>extract/A15498.txt,93452
A06619,ok,/Users/grace/Desktop/new meta/tcp_drama/A06619.xml,/Users/grace/Desktop/new meta/<l><p>extract/A06619.txt,71906
A06621,ok,/Users/grace/Desktop/new meta/tcp_drama/A06621.xml,/Users/grace/Desktop/new meta/<l><p>extract/A06621.txt,77651
A20951,ok,/Users/grace/Desktop/new meta/tcp_drama/A20951.xml,/Users/grace/Desktop/new meta/<l><p>extract/A20951.txt,103155
A01502,ok,/Users/grace/Desktop/new meta/tcp_drama/A01502.xml,/Users/grace/Desktop/new meta/<l><p>extract/A01502.txt,83009
A12578,ok,/Users/grace/Desktop/new meta/tcp_drama/A12578.xml,/Users/grace/Desktop/new meta/<l><p>extract/A12578.txt,95627
A04942,ok,/Users/grace/Desktop/new meta/tcp_drama/A04942.xml,/Users/grace/Desktop/new meta/<l><p>extract/A04942.txt,114774
A09224,ok,/Users/grace/Desktop/new meta/tcp_drama/A09224.xml,/Users/grace/Desktop/new meta/<l><p>extract/A09224.txt,117017
A21328,ok,/Users/grace/Desktop/new meta/tcp_drama/A21328.xml,/Users/grace/Desktop/new meta/<l><p>extract/A21328.txt,62606
A13062,ok,/Users/grace/Desktop/new meta/tcp_drama/A13062.xml,/Users/grace/Desktop/new meta/<l><p>extract/A13062.txt,44536
