topic,count,top_words
0,2938,"loue, wife, pray, lady, house, master, gentleman, woman, sweet, husband"
1,839,"wife, gentlemen, gentleman, woman, pray, time, lady, faith, old, little"
2,816,"great, death, minde, gods, earth, loe, place, world, things, light"
3,510,"venus, cupid, loue, siluer, gold, great, hand, gods, white, earth"
4,508,"king, lord, yorke, france, duke, henry, edward, england, richard, lords"
5,297,"brutus, rome, pompey, great, martius, men, antony, people, world, gods"
6,282,"king, lord, mortimer, gaueston, edward, france, england, lords, queene, maiestie"
7,239,"loue, loues, siluia, faire, protheus, eyes, heart, louer, siluio, louers"
8,222,"dutchesse, duke, signiour, borgia, court, love, madam, prince, grace, lord"
9,176,"london, maior, worthy, honor, yeare, time, honour, day, londons, city"
10,175,"death, dead, life, soule, teares, die, heart, griefe, loue, liue"
11,165,"payne, god, gyue, thynke, parte, ryght, eueryman, heuen, wherfore, muche"
12,163,"tamburlaine, baiazet, zenocrate, mahomet, tamburlain, armes, theridamas, persea, crowne, turkish"
13,163,"duke, lord, brother, florence, death, sciarrha, dead, treason, life, amidea"
14,149,"greece, saturne, hercules, sonne, king, mother, iason, death, sonnes, orestes"
15,140,"senate, caesar, consul, rome, catiline, hem, seianvs, state, cato, st"
16,138,"kings, feare, power, state, princes, lawes, men, ill, nature, rage"
17,136,"ys, yt, wyth, thyng, shuld, wold, wyse, reason, theym, maner"
18,135,"loue, euer, life, heart, thing, heare, death, way, said, men"
19,135,"printed, play, stage, acted, author, london, read, written, comedy, censure"
20,134,"lorde, lawe, soch, god, holy, christ, lawes, whan, gospell, saynt"
21,125,"sleepe, bed, night, dreame, rest, day, awake, wake, light, dreames"
22,124,"hector, achilles, troylus, aiax, troy, diomed, patroclus, paris, hectors, troyan"
23,121,"wyth, dothe, doothe, agayne, lyght, styll, hande, syght, myght, seas"
24,118,"est, non, que, sed, ego, si, hoc, qui, te, ad"
25,101,"melibea, calisto, celestina, parmeno, sempronio, lucrecia, old, elicia, house, paine"
26,101,"duke, clarinda, loue, dukes, lord, madame, belieue, court, true, father"
27,97,"antonio, berinthia, trincalo, flauia, sebastiano, valasco, pandolfo, sister, armellina, love"
