topic,rank,doc_snippet
0,1,kissing betraid engag d kisse againe estate father left hope breath offen ded kist woman moneth oath performe lip labour sent master yongrave agen shortly godbe wi y pray stay little l send token imploy waiting woman common kisse carrier ho t messenger master yongrave y welcome going place does master yongrave foolish love pray commend commend flie armes boast woman noble servant blest minute vncle knew gentleman blessed enjoy heart heaven affecteth twill age till holy church confirmes vowes mannage comforts given soone met husband vncle glad heare command truest servant wants forth twere soon
0,2,pray forsooth loue sweet meats sh breath stinkes worse polecats word lady woman house ancient s bawde bawde steale lawnes time steale company pacheco gone lieutenant bots drinke worthy old fellow teach flie hie swagger doo t knees bots blesse bots wine sooth wine master bots gray beard goats pizzle health guts sing bawdy song cause vergis face melancholly liquor downe glib fall maribones pledge health mistris whore s ratsbane ratsbane master bots pray pardon soldier presse seruice old shoot pot gunnes cap teach drinke healths drinke sicknesse gentle men pray rescue zounds dare stabbing reckoni
0,3,thats worth crafty knaue needs broker crafeie knaue broker thenimagin wants knaue promise long ere long ere conueyance ere scriuenars time comes god saue wold lend money honest sake land dispatcht way ready seale readie money h bargain dispatch quicklie aduertised friend honest merchant certaine land pawne present money money owne mea es borrow friend fal bad mens handling thank vnspeakeable fauour deale amisse vndone euer deal amisse thousand pound cut mans throte twelue pence cluster lackes daily hexham wel mony seale surance heart god saue sirs friendes poore welshman far carnaiuan wales re
1,1,apply vehemencyof affection win enioy thinkes o drift dwells excellency honor folly dares bright look d detection hand argument commend driue ward purity reputation marriage vow defences embattaild t iohn broome bold money hand gentleman enioy fords wife o want money iohn want want ford broome want owne appointment euen betweene parted betweene eleuen time iealious knaue husband forth night acquaintance ford hang poore cuckoldly knaue wrong poore iealous wittolly knaue money wife fauourd key cuckoldly rogues coffer ther s home knew ford uoid hang mechanicall butter rogue wits awe cud gell hang
1,2,h ee s meere going abiding inne heere night ride away morrow graunt chiefe burden lyes wee bound choice s gentleman prettie liuing vnder pardons ra ther citizen hope wel known pound yeare roundly doubtfullie ere account bond hun dred pound ith citie ide downe tennant s grow anger bond cap wel gentleman content t cuds vndone s gone agen netts broke hold deere gentleman deny curtizie s foot iew deny catch warily indeede bond quo marke words eternall credit supper s true pawning owne vittailes right yfaith vtter gentlemen e er pox t quomodo hang rot sweete boy yfaith drop dam excellent shortyard 
1,3,ant twere hangd exercize patience gulfe alwayes mans chamber heele quarrell warrant bedred gentlemen arm d reach hether wilbe fraie anon leaue gentlemen wel e long gulfe hang raskall strenght wit pray gentlemen depart howers inough ifaith keepe thrice wealth litle thing beat s twilbe pittifull day wakes loath day ouer rule gentlemen ifaith vncle preuayle ifaith enuited great ioy borne away widdow la thought vncle whats maried widdow vncle truth married whore ifaith laugh vncle fauour married woman ide walke mile foot ifaith te nere agen queane ifaith knaue e m ouer better skill better arthur c
2,1,mychildren loe lye ground bloudy wyfe kild lycus kingdome obtayne haynous giltes thebes hand hercles returnd waters land acteons fieldes double pelops kingdomes dardan dwell helpe cruel author rage yre foe shewes foe hyde alcides victorly forth euen reuenge cruel charyots hye bloudy thracian king gerions catell quight lordes lybia delay fight beholde naked euen weapons loe vnarmed wherfore fleeth eke father ght faces hyde deferre weepings wyfe children wherfore o father d ech hydes away count naunces priuily teares great ils ought wee ruler argos towne hateful band apt fight lycus dying calami
2,2,loe heere apparrell generall wear es faith libertie bands giuen enemie beares owne led leade triumph receiue victories captaine captiue conquerour oft late oathes true abiect loftie wordes craue fauour howre bathe weapons life enemies powre loe commaunder antigonus care body head d regardes die dead horrour vile deede eies looke downe haire erected mindes remorce breede hearts handes captaine force friend entreate time t partner crime words barb rous thoughts controule hauing turn d courage rage flam d forth furie o damned faith duetie merite bindes oft alexander moud wrath mutinous malitious 
2,3,loe heere apparrell generall wear es faith libertie bands giuen enemie beares owne led leade triumph receiue victories captaine captiue conquerour oft late oathes true abiect loftie wordes craue fauour howre bathe weapons life enemies powre loe commaunder antigonus care body head d regardes die dead horrour vile deede eies looke downe haire erected mindes remorce breede hearts handes captaine force friend entreate time t partner crime words barb rous thoughts controule hauing turn d courage rage flam d forth furie o damned faith duetie merite bindes oft alexander moud wrath mutinous malitious 
3,1,new arrowes boy fresh flames gods tremble beginne trouble expect euent tarye cupid forge cupid mother commaunded sapho thinkes feele alteration minde withstanding self af fections arrow effect pray cause dare feare venus fret sapho canne frowne sonne mileta sweete meates cupid pretie things mother loue phao willed strike disdain desire o spitefull venus mileta els cupid euen mother mother cupid thing euen arrow strike phao cause loth onely venus sweete cupid strike phao sitte lappe rocke asleepe feede fine knackes quickly againe ah vnkinde venus promise sapho gette cuppid queene loue direct ar
