Topic,Color
0,#1b9e77
1,#d95f02
2,#7570b3
3,#e7298a
4,#66a61e
5,#e6ab02
6,#a6761d
7,#666666
8,#e41a1c
9,#377eb8
10,#4daf4a
11,#984ea3
12,#ff7f00
13,#ffff33
14,#a65628
15,#f781bf
16,#999999
17,#7fc97f
18,#beaed4
19,#fdc086
20,#ffff99
21,#386cb0
22,#f0027f
23,#bf5b17
24,#666666
25,#a6cee3
26,#b2df8a
27,#fb9a99
28,#fdbf6f
29,#cab2d6
31,#ffff99
32,#1f78b4
33,#33a02c
34,#e31a1c
35,#ff7f00
36,#6a3d9a
37,#b15928
38,#1f77b4
39,#ff7f0e
40,#2ca02c
41,#d62728
42,#9467bd
43,#8c564b
44,#e377c2
45,#7f7f7f
46,#bcbd22
47,#17becf
48,#aec7e8
49,#ffbb78
50,#98df8a
51,#ff9896
52,#c5b0d5
54,#c49c94
55,#f7b6d2
56,#c7c7c7
57,#dbdb8d
58,#9edae5
59,#393b79
60,#6b6ecf
61,#637939
62,#b5cf6b
63,#8c6d31
64,#e7ba52
65,#843c39
66,#d6616b
67,#7b4173
68,#ce6dbd
69,#5254a3
70,#9c9ede
71,#8ca252
72,#cedb9c
73,#bd9e39
74,#e7cb94
