Genre_Main,topic,ChunkCount,NumChunks_in_Genre,Percentage_within_Genre
Comedy,0,1827,3662,49.8908
Comedy,1,613,3662,16.7395
Comedy,8,120,3662,3.2769
Comedy,3,95,3662,2.5942
Comedy,29,77,3662,2.1027
Comedy,24,70,3662,1.9115
Comedy,19,66,3662,1.8023
Comedy,35,60,3662,1.6384
Comedy,7,55,3662,1.5019
Comedy,45,45,3662,1.2288
Comedy,18,42,3662,1.1469
Comedy,21,41,3662,1.1196
Comedy,32,41,3662,1.1196
Comedy,27,39,3662,1.065
Comedy,58,38,3662,1.0377
Comedy,57,36,3662,0.9831
Comedy,63,35,3662,0.9558
Comedy,65,35,3662,0.9558
Comedy,11,31,3662,0.8465
Comedy,69,31,3662,0.8465
Comedy,74,31,3662,0.8465
Comedy,2,29,3662,0.7919
Comedy,10,25,3662,0.6827
Comedy,13,24,3662,0.6554
Comedy,26,20,3662,0.5461
Comedy,41,20,3662,0.5461
Comedy,56,19,3662,0.5188
Comedy,4,17,3662,0.4642
Comedy,46,15,3662,0.4096
Comedy,73,14,3662,0.3823
Comedy,33,7,3662,0.1912
Comedy,64,6,3662,0.1638
Comedy,43,5,3662,0.1365
Comedy,47,5,3662,0.1365
Comedy,5,4,3662,0.1092
Comedy,6,4,3662,0.1092
Comedy,14,4,3662,0.1092
Comedy,15,2,3662,0.0546
Comedy,20,2,3662,0.0546
Comedy,23,2,3662,0.0546
Comedy,52,2,3662,0.0546
Comedy,54,2,3662,0.0546
Comedy,9,1,3662,0.0273
Comedy,12,1,3662,0.0273
Comedy,17,1,3662,0.0273
Comedy,25,1,3662,0.0273
Comedy,31,1,3662,0.0273
Comedy,38,1,3662,0.0273
Tragedy,2,641,2746,23.343
Tragedy,0,269,2746,9.7961
Tragedy,5,164,2746,5.9723
Tragedy,12,143,2746,5.2076
Tragedy,15,136,2746,4.9527
Tragedy,16,124,2746,4.5157
Tragedy,23,111,2746,4.0422
Tragedy,13,93,2746,3.3867
Tragedy,10,88,2746,3.2047
Tragedy,28,83,2746,3.0226
Tragedy,14,71,2746,2.5856
Tragedy,34,66,2746,2.4035
Tragedy,27,57,2746,2.0757
Tragedy,39,57,2746,2.0757
Tragedy,37,51,2746,1.8572
Tragedy,4,48,2746,1.748
Tragedy,33,48,2746,1.748
Tragedy,6,40,2746,1.4567
Tragedy,8,39,2746,1.4202
Tragedy,18,38,2746,1.3838
Tragedy,21,37,2746,1.3474
Tragedy,61,36,2746,1.311
Tragedy,62,35,2746,1.2746
Tragedy,42,34,2746,1.2382
Tragedy,67,33,2746,1.2017
Tragedy,51,32,2746,1.1653
Tragedy,68,32,2746,1.1653
Tragedy,3,31,2746,1.1289
Tragedy,24,28,2746,1.0197
Tragedy,19,17,2746,0.6191
Tragedy,43,12,2746,0.437
Tragedy,22,10,2746,0.3642
Tragedy,41,9,2746,0.3277
Tragedy,72,9,2746,0.3277
Tragedy,1,7,2746,0.2549
Tragedy,7,5,2746,0.1821
Tragedy,26,4,2746,0.1457
Tragedy,47,2,2746,0.0728
Tragedy,36,1,2746,0.0364
Tragedy,46,1,2746,0.0364
Tragedy,49,1,2746,0.0364
Tragedy,57,1,2746,0.0364
Tragedy,71,1,2746,0.0364
Tragedy,73,1,2746,0.0364
History,6,151,485,31.134
History,0,95,485,19.5876
History,4,67,485,13.8144
History,48,45,485,9.2784
History,49,41,485,8.4536
History,70,32,485,6.5979
History,3,8,485,1.6495
History,72,8,485,1.6495
History,10,5,485,1.0309
History,13,5,485,1.0309
History,1,4,485,0.8247
History,18,4,485,0.8247
History,33,4,485,0.8247
History,16,3,485,0.6186
History,8,2,485,0.4124
History,41,2,485,0.4124
History,2,1,485,0.2062
History,9,1,485,0.2062
History,12,1,485,0.2062
History,21,1,485,0.2062
History,22,1,485,0.2062
History,23,1,485,0.2062
History,24,1,485,0.2062
History,67,1,485,0.2062
History,71,1,485,0.2062
