comparison,rank,topic_id,topic_label,P_pct,Q_pct,jsd_contrib
Comedy vs Tragedy,1,0,Domestic and marital relationships,45.671,8.767,0.098854
Comedy vs Tragedy,2,1,Social roles and faith in daily life,18.159,0.55,0.07565
Comedy vs Tragedy,3,2,Cosmology and Afterlife Concepts,0.965,18.837,0.07119
Comedy vs Tragedy,4,5,Roman political and mythological figures,0.198,8.044,0.034476
Comedy vs Tragedy,5,12,Historical figures and warfare in Ottoman context,0.025,4.138,0.019721
Comedy vs History,1,4,Medieval English and French Nobility,0.421,38.51,0.1779
Comedy vs History,2,6,Medieval monarchy and nobility,0.099,20.106,0.096516
Comedy vs History,3,0,Domestic and marital relationships,45.671,13.191,0.068399
Comedy vs History,4,1,Social roles and faith in daily life,18.159,2.021,0.053529
Comedy vs History,5,48,British nobility and historical figures,0.0,4.894,0.024468
Tragedy vs History,1,4,Medieval English and French Nobility,3.53,38.51,0.122756
Tragedy vs History,2,2,Cosmology and Afterlife Concepts,18.837,0.213,0.086822
Tragedy vs History,3,6,Medieval monarchy and nobility,2.199,20.106,0.059722
Tragedy vs History,4,5,Roman political and mythological figures,8.044,0.106,0.03666
Tragedy vs History,5,48,British nobility and historical figures,0.0,4.894,0.024468
