title.1,author.1,genre_brit_filter,n_segments
1 Tamburlaine the Great,"Marlowe, Christopher",tragedy,47
2 Tamburlaine the Great,"Marlowe, Christopher",tragedy,41
"The Raging Turk, or Bajazet the Second","Goffe, Thomas",tragedy,34
"The Courageous Turk, or Amurath the First","Goffe, Thomas",tragedy,8
The Battle of Alcazar,"Peele, George",tragedy,6
The Phoenix in Her Flames,"Lower, William",not in BritDrama,4
The Masque for Lord Montacute (The Montague Masque) (Wedding Masque of Venetians),"Gascoigne, George",masque,4
Soliman and Perseda (Zulziman),Anonymous,tragedy,3
"Alphonsus, King of Aragon","Greene, Robert",romance,2
"The Renegado, or The Gentleman of Venice","Massinger, Philip",tragicomedy,1
The Rape of Lucrece,"Heywood, Thomas",tragedy,1
The Four Prentices of London,"Heywood, Thomas",romance,1
The Emperor of the East,"Massinger, Philip",tragicomedy,1
Orlando Furioso,"Greene, Robert",romance,1
146,[84],Comedy,1
Old Fortunatus,"Dekker, Thomas",romance,1
"Histriomastix, or The Player Whipped","Marston, John",moral,1
All's Lost by Lust,"Rowley, William",tragedy,1
A Christian Turned Turk (The Two Famous Pirates),"Daborne, Robert",tragedy,1
513,[173],Tragedy,1
420,[149],Tragicomedy,1
2 If You Know Not Me You Know Nobody (The Second Part of Queen Elizabeth's Troubles),"Heywood, Thomas",history,1
The Two Noble Kinsmen,"Shakespeare, WilliamFletcher, John",tragicomedy,1
